PRODUCT_ID,PRODUCT_NAME,CATEGORY,UNIT_PRICE
1,Classic Denim Jacket,Menswear,899.00
2,Slim Fit Chino Trousers,Menswear,549.50
3,Crewneck Cotton T-Shirt,Menswear,199.00
4,Linen Button-Down Shirt,Menswear,450.00
5,Floral Summer Dress,Womenswear,649.00
6,High-Waisted Skinny Jeans,Womenswear,599.00
7,Oversized Knit Cardigan,Womenswear,499.00
8,Pleated Midi Skirt,Womenswear,399.50
9,Seamless Running Leggings,Activewear,449.00
10,Moisture-Wicking Sports Bra,Activewear,299.00
11,Zip-Up Hooded Track Jacket,Activewear,699.00
12,Breathable Training Shorts,Activewear,249.00
13,Unisex Wool Beanie,Accessories,149.00
14,Leather Dress Belt,Accessories,299.00
15,Polarised Sunglasses,Accessories,349.00
16,Canvas Everyday Tote Bag,Accessories,199.00
17,Water-Resistant Windbreaker,Outerwear,999.00
18,Fleece-Lined Winter Coat,Outerwear,1499.00
19,Padded Puffer Vest,Outerwear,799.00
20,Classic Tailored Blazer,Outerwear,1199.00
